time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,240.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,240.18,0,1,0,0.128991,0.112419,0.111962,0.097255,0.090374,0.085272,0.0754,0.079486,0.069471,0.074014,0.065921,0.066621,0.062527,0.060213,0.060772,0.056961,0.058591,0.05382,0.053757,0.049781,0.04919,0.047293,0.046089,0.045215,0.043593,0.042538,0.041018,0.040459,0.039192,0.038987,0.037916,0.037357
145,0,239.92,0.61,60,37,0.097152,0,0.035258,0,0.011112,0.000409,0.003332,0.000581,0.006635,0,0.001832,0,0.002929,0.000581,0.00201,0,0.003149,0.000409,0.002781,0,0.000581,0.000581,0.001162,0,0.001299,0,0.001085,0,0.001085,0,0.000818,0.000712
146,0.22,239.51,0.9,52,47,0.104499,0.000408,0.039053,0.000408,0.012846,0,0.003616,0.000408,0.00634,0.000408,0.001467,0,0.002634,0.000702,0.002226,0.000408,0.002634,0.000408,0.003227,0.000574,0.000702,0,0.001728,0.000574,0.001467,0.000408,0.001148,0,0.000574,0,0.000912,0.000574
148,0.24,239.39,0.9,55,49,0.110214,0.000821,0.040947,0.000915,0.01375,0.00041,0.003686,0.00041,0.006175,0.000579,0.001419,0,0.002839,0.000579,0.00183,0.00041,0.002422,0,0.00333,0.00041,0,0.00041,0.000579,0.000579,0.001298,0,0.001534,0.00041,0.00041,0.00041,0.00148,0
150,0.32,239.57,0.92,78,72,0.152667,0.000578,0.055284,0.000811,0.014723,0,0.002413,0.000578,0.009998,0,0.002851,0.000811,0.003774,0,0.002441,0,0.002041,0.00041,0.001221,0,0.00328,0.000578,0.001472,0.00041,0.000578,0,0.002078,0.000708,0.002078,0,0.000578,0.00041
152,0.32,239.31,0.92,78,72,0.156749,0.000813,0.055681,0,0.014293,0.000411,0.003368,0.000411,0.010897,0,0.003272,0.000411,0.004009,0.000411,0.002975,0.000411,0.001636,0,0.001158,0,0.002449,0,0.000708,0.000574,0.000411,0.000411,0.002277,0.000574,0.001913,0,0.000708,0.000411
154,0.32,239.46,0.92,79,72,0.156749,0.000574,0.056351,0,0.014341,0.000411,0.003004,0,0.010543,0.000411,0.003062,0.000574,0.00354,0,0.002746,0,0.001416,0.000574,0.001292,0,0.002554,0.000574,0.000411,0.000411,0.000574,0,0.002382,0.000411,0.001923,0,0.001292,0
156,0.31,239.52,0.92,78,72,0.155116,0.00071,0.05511,0,0.01422,0.000578,0.003077,0.000578,0.010859,0,0.003437,0.000407,0.00391,0.000578,0.00285,0,0.001581,0.000407,0.001221,0,0.002821,0.000407,0.000994,0,0,0.00071,0.00248,0,0.002036,0,0.00071,0.000407
158,0.33,239.32,0.92,76,70,0.147768,0.000577,0.053862,0.000406,0.014746,0.000577,0.002047,0.000703,0.00975,0.000406,0.002886,0,0.004004,0.000406,0.002417,0.000821,0.00147,0,0.001777,0.000406,0.003112,0.000577,0.001416,0,0.001416,0.000577,0.001876,0.000406,0.002381,0.000406,0.001416,0
160,0.33,239.26,0.92,76,70,0.152667,0.000708,0.054641,0,0.014266,0.00041,0.002972,0.000578,0.010856,0.000708,0.003112,0.00041,0.003942,0,0.002674,0,0.00178,0.00041,0.000997,0,0.00314,0,0.001472,0.00041,0.000578,0,0.002348,0.00041,0.002199,0.00041,0.00041,0.000578
162,0.32,239.35,0.92,82,75,0.147768,0.000577,0.053375,0.000406,0.014963,0.000577,0.001732,0,0.009705,0,0.002832,0,0.003869,0.000406,0.001777,0,0.002002,0.000406,0.001578,0,0.002516,0.000406,0.001001,0,0.001154,0,0.001353,0.000406,0.001957,0,0.000406,0.000406
164,0.32,239.37,0.92,78,72,0.143686,0.000412,0.052392,0.000412,0.015347,0.00071,0.001868,0.000816,0.009849,0.000579,0.002833,0.000412,0.004043,0.000816,0.001824,0,0.001526,0,0.002122,0,0.002947,0.000412,0.001912,0,0.001158,0.00071,0.001079,0,0.00235,0,0.001158,0.000412
166,0.32,239.44,0.92,75,69,0.15185,0.000704,0.054812,0,0.01495,0.000704,0.002577,0.000408,0.010037,0.000408,0.002994,0,0.004087,0,0.00241,0.000704,0.001863,0.000408,0.000816,0,0.002539,0.000575,0.001075,0.000408,0.000408,0,0.001817,0,0.002076,0,0.000704,0.000408
168,0.32,239.63,0.92,77,70,0.143686,0.000579,0.052155,0.000403,0.014698,0,0.002578,0,0.010033,0,0.003183,0.000403,0.004271,0,0.001912,0,0.001912,0.000403,0.001912,0,0.002412,0,0.001473,0.000579,0.000912,0.000579,0.001684,0,0.001912,0.000403,0.000912,0
170,0.32,239.38,0.92,76,70,0.149401,0.000702,0.053892,0.000574,0.014617,0.00041,0.002307,0.00041,0.009666,0.00041,0.002544,0.00041,0.004103,0.00041,0.002416,0.00041,0.001733,0,0.001222,0,0.002736,0,0.000912,0.00041,0.001222,0.000702,0.001824,0,0.002198,0,0.000702,0.00041
172,0.32,239.15,0.92,76,70,0.146952,0.000404,0.052883,0.000404,0.014566,0.000404,0.00244,0.000574,0.010162,0.000404,0.003076,0.000404,0.004054,0.000574,0.002036,0,0.001866,0.000404,0.001677,0,0.003023,0.000574,0.001292,0,0.000816,0.000404,0.001677,0,0.002153,0,0.000816,0.000404
174,0.31,239.17,0.91,72,66,0.142054,0.000711,0.051345,0,0.015026,0.000581,0.002038,0.000408,0.009659,0,0.00274,0,0.003997,0.000581,0.001474,0,0.001734,0,0.001916,0.000408,0.002384,0.000408,0.001474,0.000408,0.001578,0.000408,0.000997,0.000408,0.002272,0,0.000815,0.000581
175,0.31,239.64,0.92,75,69,0.14287,0.000916,0.05212,0.00041,0.014885,0,0.001962,0,0.009514,0,0.003061,0,0.004029,0,0.001735,0,0.001918,0.000576,0.002206,0.00041,0.002834,0.000706,0.001291,0.00041,0.00136,0,0.001474,0.00041,0.002686,0.000576,0.001421,0.000576
177,0.31,239.17,0.92,75,68,0.145319,0,0.052614,0,0.014821,0.000577,0.001916,0,0.009881,0,0.00306,0,0.004399,0.000408,0.00204,0,0.001295,0,0.001632,0,0.002918,0,0.001472,0.000408,0.001419,0.000577,0.001472,0,0.0022,0,0.001224,0.000408
179,0.3,239.1,0.91,70,64,0.146952,0.000709,0.053206,0.000413,0.014719,0.000413,0.002484,0,0.010324,0.000413,0.003005,0,0.004153,0,0.002646,0,0.001686,0,0.001354,0,0.003032,0.000413,0.001417,0,0.001005,0.000413,0.001875,0.000413,0.002242,0,0.001085,0.000413
181,0.31,239.32,0.92,75,69,0.148585,0.000408,0.053488,0.000408,0.014238,0.000408,0.002775,0,0.010148,0.00058,0.003446,0.00058,0.003927,0.000408,0.002313,0,0.001632,0.000408,0.001787,0,0.003092,0,0.00136,0,0.00058,0.00058,0.002385,0.000408,0.002585,0.00058,0.000707,0
183,0.31,239.21,0.92,75,69,0.14287,0,0.052059,0,0.015251,0.00041,0.002041,0,0.009627,0.000576,0.003157,0.00041,0.004125,0.000576,0.001735,0.00041,0.001822,0,0.00191,0.00041,0.002825,0,0.002041,0.000576,0.001578,0.000706,0.001474,0.00041,0.002415,0.000576,0.001291,0
185,0.31,238.9,0.92,72,66,0.141237,0.000405,0.051705,0,0.015439,0,0.001871,0,0.009991,0.000707,0.003164,0,0.004414,0.000405,0.001681,0.000405,0.001957,0.000405,0.001681,0,0.003,0.000405,0.001776,0.000578,0.001629,0,0.001414,0.000578,0.002578,0,0.001474,0.000405
187,0.31,239.14,0.92,73,67,0.14287,0.000811,0.052164,0.000706,0.01485,0.00041,0.002154,0,0.009775,0,0.003314,0,0.003863,0.00041,0.002119,0,0.001683,0,0.001578,0,0.003183,0.00041,0.000994,0,0.001352,0,0.00191,0.000576,0.002415,0,0.000994,0
189,0.31,239.15,0.92,72,66,0.140421,0.000583,0.051964,0.000411,0.014879,0.000411,0.001783,0.000411,0.009676,0,0.003085,0.000411,0.004191,0.000711,0.001586,0,0.001826,0.000411,0.00174,0,0.002837,0.000411,0.001534,0.000411,0.001637,0.000411,0.001226,0.000411,0.00252,0.000411,0.001226,0.000583
191,0.31,239.39,0.92,71,65,0.14287,0.00082,0.052076,0.000706,0.015251,0.00041,0.002276,0.000706,0.010211,0,0.003244,0,0.004229,0.00041,0.001735,0,0.001735,0,0.002084,0.00041,0.003035,0.00041,0.001779,0.00041,0.001413,0,0.001831,0.00041,0.002581,0.000576,0.001474,0.00041
193,0.31,239.19,0.92,73,67,0.140421,0.000814,0.051569,0.000574,0.015393,0.000411,0.001688,0.000411,0.009539,0.000411,0.003,0,0.004268,0.000411,0.001826,0.000411,0.00192,0,0.001526,0.000411,0.002828,0,0.001586,0.000411,0.001731,0.000411,0.001226,0,0.00252,0,0.001637,0
195,0.3,239.07,0.92,71,65,0.145319,0.000408,0.052579,0.000408,0.014963,0.000408,0.002714,0.000408,0.010271,0.000577,0.002803,0,0.004169,0,0.002164,0.000408,0.001827,0,0.001472,0,0.003007,0.000408,0.001419,0,0.001224,0.000577,0.001871,0.000577,0.002554,0.000408,0.001295,0.000408
197,0.31,239.15,0.91,70,64,0.144503,0.000573,0.052566,0.000406,0.014914,0,0.002514,0,0.010046,0.000573,0.003113,0,0.004084,0,0.00224,0,0.001579,0,0.001579,0,0.003025,0.000573,0.001358,0,0.001085,0,0.001958,0,0.002584,0.000406,0.000997,0
199,0.3,239.06,0.92,73,67,0.139604,0.000579,0.051278,0.000707,0.014954,0,0.002045,0,0.009739,0.000409,0.002829,0,0.004039,0.000579,0.001636,0.000579,0.001823,0.000579,0.00173,0,0.002769,0,0.001875,0.000409,0.001687,0,0.001414,0.000409,0.002445,0.000579,0.00115,0.000409
201,0.3,239.25,0.92,72,66,0.140421,0.000711,0.051124,0.000574,0.015376,0.000411,0.00228,0,0.009419,0,0.003,0,0.004191,0.000411,0.001414,0.000574,0.002083,0.000411,0.002126,0.000411,0.002588,0.000411,0.002006,0,0.001637,0,0.001586,0,0.002383,0.000411,0.001586,0.000411
203,0.3,238.95,0.91,70,64,0.14287,0.000576,0.05198,0.000576,0.015042,0.00041,0.002337,0,0.009958,0,0.003183,0.00041,0.003802,0,0.001683,0.00041,0.001578,0.00041,0.002197,0,0.002851,0,0.002119,0.00041,0.001526,0.00041,0.001352,0,0.002337,0.00041,0.000994,0.00041
205,0.3,239.27,0.92,72,66,0.141237,0.000405,0.052016,0.000405,0.015069,0,0.001828,0,0.009939,0.000578,0.002802,0,0.004086,0,0.001776,0,0.002,0.000405,0.002043,0,0.002741,0.000405,0.001828,0.000578,0.001474,0.000578,0.001474,0.000405,0.002517,0.000405,0.001526,0
206,0.3,239.12,0.92,72,66,0.140421,0.000574,0.051869,0.000411,0.01523,0,0.002083,0.000574,0.009591,0,0.002803,0,0.004268,0.000814,0.001877,0,0.001783,0.000411,0.001637,0.000411,0.002743,0.000814,0.00192,0.000411,0.001534,0.000411,0.001157,0,0.002648,0.000411,0.001354,0.000411
208,0.3,238.96,0.92,71,65,0.14287,0.000576,0.051797,0.00041,0.01485,0,0.001953,0,0.00954,0.00041,0.002878,0.000576,0.004194,0.000576,0.00191,0.000576,0.001683,0,0.001727,0.00041,0.002764,0.00041,0.001291,0.000576,0.001151,0,0.001822,0.00041,0.002546,0.000576,0.001151,0.000706
210,0.3,239.19,0.92,71,65,0.141237,0.000405,0.051826,0.000707,0.014836,0.000405,0.001828,0,0.009931,0.000707,0.003086,0.000405,0.004,0.000405,0.001914,0.000405,0.002121,0.000405,0.001871,0.000405,0.002862,0.000578,0.001784,0,0.001414,0,0.001353,0,0.002345,0.000578,0.001638,0
212,0.3,238.96,0.92,71,65,0.137972,0.000707,0.050678,0,0.015512,0.000817,0.001912,0.000573,0.00907,0,0.003158,0.000404,0.004219,0.000404,0.001356,0,0.001912,0.000404,0.001996,0.000573,0.002939,0,0.001777,0.000573,0.001684,0,0.001221,0,0.002265,0.000404,0.001575,0.000404
214,0.3,238.96,0.91,69,63,0.140421,0.000411,0.051646,0.000411,0.015187,0,0.002237,0.000411,0.009788,0,0.003051,0.000411,0.00408,0.000574,0.001526,0,0.001868,0.000411,0.001997,0.000411,0.002768,0,0.001526,0.000411,0.001731,0.000411,0.001354,0.000574,0.002271,0.000411,0.00108,0.000411
216,0.3,238.72,0.91,71,64,0.137972,0.000581,0.05072,0,0.015225,0,0.001869,0.000413,0.009541,0.000413,0.002771,0,0.004067,0.000413,0.001735,0,0.001869,0.000413,0.002122,0,0.002914,0,0.001827,0,0.001777,0.000413,0.001002,0,0.00224,0,0.001415,0.000413
218,0.3,239.02,0.91,70,64,0.139604,0.000409,0.051108,0.000707,0.014911,0.000409,0.001917,0,0.009671,0.000409,0.002769,0.000579,0.004277,0,0.001585,0.000409,0.001917,0,0.001917,0,0.002829,0.000409,0.00173,0,0.001687,0.000579,0.00115,0,0.002198,0.000409,0.001585,0
220,0.3,239.09,0.91,70,64,0.139604,0.000579,0.051056,0,0.015065,0.000409,0.001951,0.000409,0.009441,0,0.002846,0.000579,0.004422,0.000818,0.001346,0.000579,0.001866,0.000818,0.001823,0.000409,0.002735,0,0.001909,0.000409,0.001679,0.000409,0.001466,0,0.002445,0.000409,0.001466,0.000409
222,0.29,238.9,0.92,71,65,0.137972,0,0.050316,0.000707,0.014922,0,0.001575,0,0.009347,0.000404,0.002669,0.000573,0.004135,0,0.001415,0,0.002114,0,0.002307,0.000404,0.002939,0.000404,0.001575,0.000573,0.001869,0.000573,0.001221,0,0.001954,0.000707,0.001634,0.000404
224,0.3,238.86,0.91,71,65,0.139604,0.000579,0.051184,0,0.015627,0.000579,0.001687,0,0.009884,0,0.003085,0.000409,0.004184,0.000707,0.00173,0.000579,0.002079,0.000409,0.00196,0,0.002914,0,0.002079,0.000579,0.001414,0,0.001355,0.000579,0.002386,0,0.001525,0.000707
