time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,241.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6.29,227.07,1,1422,1421,3.126812,0.001336,0.045612,0.001145,0.003435,0.000763,0.025573,0.000763,0.041795,0.000763,0.003054,0.000954,0.007634,0.000763,0.002099,0.000573,0.003054,0.000763,0.004199,0.000763,0.002099,0.000382,0.002672,0,0.000573,0.000382,0.000382,0.000382,0.001336,0.000573,0.001145,0.000573
34,6.25,225.97,1,1412,1412,3.12273,0.000762,0.045743,0.000762,0.002478,0.000762,0.027065,0.000762,0.042312,0.001144,0.002859,0.000381,0.008196,0.000572,0.002097,0.000762,0.003431,0.000762,0.004384,0.000381,0.001906,0,0.002287,0.000572,0.000953,0.000572,0,0.000381,0.001525,0.000762,0.001334,0
36,6.26,226.1,1,1410,1409,3.120281,0.001333,0.045326,0.001143,0.003809,0.000762,0.026663,0.000762,0.04247,0.000381,0.003238,0.000762,0.007999,0,0.001524,0.000952,0.003618,0.000571,0.004571,0.000762,0.001714,0.000381,0.002285,0.000571,0.000762,0.000381,0.000381,0.000381,0.001524,0.000381,0.001143,0.000571
38,6.26,226.56,1,1411,1410,3.119464,0.001523,0.046076,0.000952,0.004189,0.001142,0.026275,0.001142,0.041697,0.000762,0.002856,0.000952,0.009139,0.000381,0.001904,0.000952,0.003427,0.000571,0.00476,0.000381,0.001523,0,0.002285,0.000762,0.000762,0.000571,0.000381,0.000762,0.002094,0.000381,0.001523,0.000762
40,6.25,226.16,1,1413,1412,3.118648,0.000952,0.045874,0.000761,0.003617,0.000381,0.02741,0.000761,0.042067,0.000761,0.002475,0.000571,0.008946,0.000761,0.002094,0.000761,0.003046,0.000761,0.004568,0.000381,0.002094,0.000761,0.001713,0.000571,0.000952,0.000571,0.000761,0.000952,0.001713,0.000761,0.001332,0.000952
42,6.25,226.36,1,1409,1408,3.118648,0.001142,0.045303,0.000381,0.003426,0.000952,0.026649,0.000761,0.041876,0.000761,0.002094,0.000571,0.008946,0.000761,0.001903,0.000761,0.003617,0.000381,0.004759,0.000381,0.001713,0.000571,0.001903,0,0.001142,0.000571,0.000381,0,0.001523,0.000571,0.001142,0.000381
44,6.23,225.8,1,1412,1411,3.117015,0.000761,0.044898,0.000761,0.003615,0.000571,0.027205,0,0.041854,0.000761,0.002854,0.000951,0.008181,0.000761,0.001712,0.000761,0.003615,0.00038,0.005137,0.00038,0.001332,0,0.002093,0,0.000761,0.000571,0.000571,0.000571,0.002093,0.000761,0.001141,0
45,6.24,226.15,1,1408,1407,3.116199,0.001141,0.046028,0.000761,0.004375,0.000951,0.026628,0.001141,0.042604,0.000571,0.002092,0.000951,0.007988,0.000761,0.001522,0.000761,0.003233,0.000571,0.004565,0.00038,0.001712,0.00038,0.002282,0.000571,0.000761,0.00038,0.000761,0,0.002092,0.000761,0.001141,0.00038
47,6.23,225.89,1,1407,1406,3.116199,0.001141,0.046218,0.000571,0.003424,0.000571,0.027959,0.000951,0.041463,0.00038,0.002282,0.001141,0.008179,0.000951,0.001522,0.000761,0.003233,0,0.004565,0.000571,0.001522,0,0.001902,0.000571,0.001331,0,0.001141,0.00038,0.001902,0,0.001331,0.000761
49,6.24,226.19,1,1407,1406,3.108035,0.001518,0.046476,0.000948,0.002845,0.000569,0.026368,0.000948,0.041734,0.000759,0.003035,0.000948,0.008726,0.000759,0.001897,0.000759,0.003225,0.000379,0.004553,0,0.001328,0,0.001897,0,0.001138,0.000759,0.000379,0.000379,0.001518,0,0.001328,0.000759
