time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0.24,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,242.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,242.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,242.07,0.14,19,2,0.01143,0,0.001854,0,0.001214,0.000405,0.001144,0,0.001144,0.000572,0.000905,0,0.000905,0.000405,0.000572,0.000572,0,0.000405,0.000572,0,0,0.000405,0.000405,0,0.000405,0,0,0,0,0,0,0
263,0.53,234.66,0.63,121,75,0.162464,0.001358,0.140361,0.000704,0.103701,0.000912,0.063433,0.000912,0.034468,0.000704,0.032386,0.000407,0.034329,0.000575,0.027725,0.000575,0.016054,0.000912,0.007853,0.000704,0.011423,0,0.012573,0.000407,0.008696,0.000407,0.003322,0.000575,0.004423,0.000407,0.006356,0
265,0.51,234.01,0.61,118,72,0.157565,0.001077,0.136821,0.001,0.103354,0.001221,0.06529,0.001154,0.037699,0.001,0.033477,0.001,0.034833,0.000817,0.029091,0.000817,0.018445,0.000914,0.0093,0.000914,0.011117,0.000404,0.012714,0.000702,0.010223,0.000404,0.005001,0.000577,0.00428,0.000404,0.00627,0.000577
266,0.51,234.33,0.6,118,71,0.1543,0.00129,0.134861,0.001158,0.103425,0.001083,0.067421,0.000914,0.040675,0.000998,0.034921,0.000405,0.034977,0.000706,0.029892,0,0.019834,0.000706,0.011169,0,0.010934,0,0.012883,0.000574,0.01116,0.000405,0.00647,0.000405,0.004615,0.000574,0.00663,0
268,0.5,234.19,0.59,117,69,0.152667,0.001724,0.13308,0.001575,0.10302,0.001081,0.068236,0.001351,0.041894,0.001351,0.035688,0.001351,0.035958,0.001221,0.030889,0.000997,0.021049,0.000913,0.011946,0.000811,0.010986,0.000997,0.013222,0.000578,0.011312,0.000811,0.00752,0.000997,0.004575,0.000708,0.00574,0.000811
270,0.51,233.93,0.59,117,68,0.15185,0.002234,0.133629,0.001919,0.104073,0.000908,0.070809,0.001288,0.044895,0.001474,0.037305,0.001223,0.036628,0.001288,0.031438,0.001159,0.022142,0.001001,0.01266,0.001288,0.010538,0.001084,0.012697,0.000816,0.011465,0.000908,0.007702,0.000816,0.004634,0.000908,0.005858,0.000816
272,0.51,234.06,0.58,120,69,0.153483,0.000918,0.135516,0.001002,0.106419,0.001077,0.073257,0.001002,0.047448,0.001077,0.039795,0.000918,0.038652,0.000581,0.033022,0.000581,0.023794,0.000815,0.013949,0.000412,0.011307,0.000581,0.013199,0.000712,0.011766,0.000581,0.0083,0,0.00504,0.000712,0.005639,0.000581
274,0.51,234.2,0.58,119,69,0.153483,0.001293,0.135029,0.001152,0.106044,0.000581,0.072592,0,0.046971,0.000581,0.038933,0.000581,0.038146,0.000412,0.032966,0.000581,0.024113,0.000581,0.014352,0.000703,0.011766,0.000412,0.013583,0.000815,0.012797,0.000581,0.008965,0.000581,0.005677,0,0.005696,0.000412
276,0.52,234.01,0.58,121,70,0.1543,0.000574,0.13666,0.001356,0.10787,0.001083,0.075257,0.000574,0.049189,0.000819,0.040166,0.000914,0.038274,0.000998,0.033904,0.000819,0.024778,0.000405,0.015125,0,0.011857,0.000574,0.013769,0.000405,0.013194,0.000574,0.009389,0,0.00582,0.000574,0.005933,0.000706
278,0.52,233.69,0.58,122,70,0.155116,0.001581,0.137393,0.002045,0.10863,0.001477,0.076062,0.001638,0.050443,0.001004,0.041988,0.000814,0.040057,0.001297,0.035001,0.001155,0.025808,0.000918,0.016171,0.00071,0.012213,0.000407,0.014069,0.00071,0.013662,0.000407,0.009856,0.001004,0.006239,0,0.006201,0.000407
280,0.53,233.64,0.57,123,70,0.1543,0.001224,0.136717,0.001356,0.108435,0.001224,0.075973,0.001083,0.050818,0.001413,0.042643,0.001413,0.041005,0.001469,0.035043,0.000998,0.025484,0.001083,0.01568,0.000998,0.012478,0.000998,0.0144,0.000914,0.013561,0.000706,0.009832,0.000819,0.006122,0.000706,0.00599,0.000405
282,0.53,233.97,0.57,123,70,0.1543,0.001479,0.137291,0.000914,0.109217,0.000405,0.076707,0.001083,0.051835,0.000574,0.043679,0.000819,0.041212,0.000998,0.035674,0.000706,0.025889,0.000819,0.016114,0.000574,0.01262,0.000405,0.014202,0.000706,0.013458,0,0.010133,0.000405,0.006555,0,0.0063,0.000405
284,0.53,234.11,0.57,123,70,0.1543,0.000819,0.136651,0.001083,0.108577,0.000706,0.076839,0.001158,0.052296,0.000819,0.043952,0.000914,0.041815,0.000819,0.035994,0.000574,0.026473,0.000706,0.016227,0.000574,0.012582,0.000706,0.014296,0.000574,0.013731,0.000574,0.010576,0,0.006696,0,0.006366,0.000819
286,0.53,234.08,0.56,123,69,0.153483,0.001349,0.136237,0.001293,0.10952,0.001227,0.078568,0.000909,0.053434,0.000815,0.044329,0.000412,0.0412,0.000412,0.03557,0.000581,0.026483,0.000815,0.016787,0.000581,0.012871,0.000581,0.013893,0,0.013359,0.000412,0.010314,0.000703,0.006604,0.000581,0.005836,0.000581
288,0.53,234.16,0.56,123,69,0.152667,0.001677,0.135633,0.001286,0.108332,0.001155,0.077386,0.000997,0.053411,0.001081,0.045155,0.000997,0.04249,0.000997,0.036508,0.000811,0.026873,0.001221,0.01695,0.001081,0.013166,0.000997,0.014872,0.000578,0.014014,0.000578,0.010343,0.000708,0.006951,0.000811,0.006215,0.000708
290,0.53,234.33,0.56,123,69,0.152667,0.000997,0.135242,0.000913,0.107903,0.001221,0.07707,0.001155,0.053169,0.000708,0.04523,0.000913,0.042518,0.001351,0.036462,0.00041,0.026659,0.00082,0.017108,0.000578,0.013595,0.000578,0.015207,0.00041,0.013642,0.000708,0.010287,0.000578,0.006989,0.000578,0.006867,0.000708
