time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,237.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,236.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,237.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,237.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,237.19,0,1,0,0.004898,0.001145,0.003724,0,0.00225,0,0.002291,0.000433,0.00225,0,0.00075,0,0.001145,0,0.00106,0,0.000968,0.000612,0.001225,0,0.001145,0,0.00106,0,0.00106,0,0.001145,0,0.00075,0,0.000612,0.000433
102,0.08,236.72,0.82,80,65,0.149401,0.000821,0.052123,0.000711,0.014936,0.00041,0.002198,0.000574,0.011143,0,0.003137,0.00041,0.004833,0,0.002827,0.000574,0.001687,0.000574,0.001778,0,0.003055,0.00041,0.001413,0,0.001468,0.00041,0.001869,0,0.002307,0.000574,0.001295,0
104,0.29,236.16,0.91,71,65,0.133073,0.000707,0.047303,0.000406,0.015513,0.000577,0.001226,0.000406,0.009243,0.000406,0.001998,0.000406,0.004605,0.000406,0.001633,0.000406,0.002485,0,0.00303,0,0.001779,0.000406,0.001153,0.00082,0.002079,0.00082,0.00091,0.000577,0.00147,0.000406,0.001413,0.000406
106,0.22,236.3,0.9,57,51,0.107765,0.001,0.03663,0.00071,0.01205,0.000579,0.001829,0,0.008419,0,0.001158,0.000408,0.003401,0.000816,0.002868,0,0.002894,0,0.003249,0,0.00071,0.000408,0.001473,0.000408,0.001085,0,0.00123,0,0.000579,0.000408,0.000579,0.000579
108,0.23,236.4,0.92,78,71,0.155932,0.000704,0.054125,0.000581,0.014742,0.000409,0.003046,0.000409,0.011468,0.000409,0.002969,0.000818,0.004702,0.000581,0.002789,0.000409,0.001675,0,0.001285,0.000409,0.003046,0.000704,0.000999,0,0.000581,0.000409,0.002341,0,0.002303,0.000409,0.000704,0.000581
110,0.33,236.34,0.92,77,71,0.1543,0,0.053577,0.000574,0.014692,0.000405,0.002609,0,0.011574,0.000405,0.003023,0.000405,0.004605,0.000405,0.002797,0,0.001912,0,0.001469,0.000405,0.002882,0.000405,0.001074,0.000405,0.000706,0.000574,0.002637,0.000405,0.002157,0.000405,0.000998,0
112,0.33,236.25,0.92,78,71,0.150218,0.000578,0.052527,0,0.014853,0.000403,0.001907,0,0.010966,0.000403,0.002668,0.000403,0.00485,0.000578,0.002476,0,0.001577,0,0.001632,0,0.002934,0,0.001284,0.000403,0.001219,0.000403,0.002228,0.000578,0.00254,0.000706,0.000908,0
