time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
9493,0.41,242.21,0.58,99,58,0.123276,0.00091,0.110523,0.000707,0.087514,0,0.061488,0.000406,0.036124,0.000707,0.024123,0.000406,0.020338,0.000406,0.018344,0.000707,0.014303,0.000406,0.010361,0.000707,0.010338,0.000579,0.011512,0,0.010052,0.000579,0.006621,0,0.003845,0.000406,0.005004,0.000579
9495,0.41,241.81,0.58,99,58,0.123276,0.001001,0.110892,0.000707,0.087657,0.000406,0.061119,0.000406,0.035657,0.000579,0.023671,0.00082,0.019962,0.000406,0.018374,0.000579,0.014266,0.000579,0.010218,0.000406,0.009894,0.000406,0.011279,0.000406,0.010067,0,0.006742,0.000406,0.004025,0,0.005109,0.000406
9497,0.41,241.66,0.59,99,58,0.123276,0.00082,0.110538,0.00082,0.087363,0.000579,0.060487,0.000406,0.035492,0.000406,0.024085,0.000707,0.021075,0.000707,0.019059,0.000707,0.014454,0.000406,0.010158,0.000579,0.009729,0.000406,0.010895,0.000579,0.009691,0.000579,0.006561,0.000406,0.00377,0.000406,0.005071,0
9499,0.41,241.8,0.59,99,58,0.12246,0.001151,0.110172,0.001293,0.086546,0.000576,0.060169,0.000815,0.03504,0.00071,0.023589,0.000912,0.020883,0,0.018716,0,0.014306,0.00071,0.009814,0.000815,0.009545,0.000411,0.010957,0.000815,0.009597,0,0.006391,0.00071,0.003737,0.000815,0.005068,0.000576
9501,0.41,241.6,0.58,101,58,0.126542,0.026723,0.112138,0.023116,0.087646,0.018428,0.06029,0.016358,0.033937,0.015331,0.021054,0.014582,0.017733,0.01262,0.01598,0.010396,0.01191,0.008913,0.008202,0.007917,0.008867,0.007245,0.009168,0.005677,0.007546,0.004626,0.004178,0.003885,0.002641,0.004016,0.003738,0.003406
9503,0.43,238,0.58,101,58,0.125726,0.028354,0.111644,0.023635,0.087649,0.019184,0.060607,0.016383,0.034378,0.015769,0.021164,0.014879,0.017243,0.012907,0.016161,0.010528,0.012009,0.008694,0.008372,0.007904,0.008157,0.006945,0.008848,0.005786,0.00762,0.004973,0.004873,0.003845,0.003023,0.003906,0.003284,0.003599
9505,0.43,238,0.58,101,58,0.126542,0.02826,0.11213,0.023982,0.087646,0.0191,0.059795,0.016969,0.03318,0.015957,0.020537,0.014636,0.017617,0.012327,0.015741,0.010133,0.011678,0.008982,0.008264,0.008249,0.008674,0.006913,0.009693,0.005839,0.007801,0.00448,0.005028,0.004232,0.003059,0.004287,0.003491,0.003522
9507,0.43,237.97,0.58,101,58,0.126542,0.028894,0.111867,0.024244,0.086472,0.018421,0.057764,0.015656,0.030655,0.01452,0.01934,0.01391,0.018297,0.011632,0.017115,0.009971,0.011948,0.008905,0.0076,0.008534,0.008287,0.007592,0.009809,0.006287,0.008164,0.004982,0.005291,0.004333,0.002896,0.004595,0.00312,0.003754
9509,0.43,237.95,0.58,101,58,0.126542,0.028523,0.11213,0.024522,0.087353,0.019239,0.059703,0.016992,0.033412,0.015856,0.020637,0.014682,0.018081,0.012072,0.016598,0.009971,0.011616,0.008365,0.007469,0.008063,0.008141,0.006936,0.009052,0.005654,0.008094,0.004426,0.004928,0.00448,0.002526,0.004256,0.002919,0.003792
9511,0.43,238.1,0.58,101,58,0.125726,0.028615,0.111974,0.024571,0.087887,0.019568,0.060215,0.016967,0.033273,0.015984,0.019898,0.014641,0.017043,0.012447,0.016683,0.010536,0.012462,0.008618,0.008387,0.008219,0.007812,0.007037,0.009761,0.005993,0.008318,0.00465,0.005632,0.004466,0.003108,0.004274,0.002732,0.003952
