time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
110,0.48,240.88,0.54,114,62,0.133073,0.000707,0.12132,0.001356,0.101998,0.001153,0.078038,0.000918,0.054085,0.000577,0.039539,0.000707,0.032123,0.00108,0.028338,0.001291,0.023717,0.000918,0.017844,0.00082,0.012354,0.000577,0.010461,0.00082,0.009877,0.000707,0.008967,0.000406,0.00649,0.000577,0.004532,0
112,0.48,240.85,0.54,115,61,0.13144,0.001356,0.12114,0.001227,0.102327,0.001155,0.07988,0.000706,0.055989,0.000818,0.040506,0.000578,0.031761,0.001083,0.027228,0.000706,0.023378,0.001003,0.018452,0.000578,0.013141,0.000706,0.010132,0.000578,0.009218,0,0.00844,0.000409,0.006707,0.000578,0.005704,0.000578
114,0.48,241.2,0.54,118,63,0.137155,0.001415,0.125946,0.001356,0.105729,0.001005,0.082039,0.000912,0.057201,0.000912,0.042024,0.001231,0.033535,0.001298,0.02909,0.001005,0.024821,0.000712,0.019313,0.00041,0.013612,0.000578,0.010992,0.000578,0.010104,0.000578,0.00951,0.000578,0.007367,0.00041,0.005291,0.00041
116,0.5,240.82,0.54,119,64,0.137155,0.000912,0.125519,0.001222,0.104608,0.001289,0.080272,0.001289,0.055703,0.001155,0.040852,0.001155,0.033468,0.00108,0.029375,0.001155,0.024578,0.000812,0.018693,0.000812,0.012833,0.000812,0.010657,0.000812,0.010238,0.000578,0.009301,0.000912,0.006856,0.000578,0.004947,0.00041
118,0.5,240.88,0.54,119,64,0.138788,0.001864,0.126649,0.001288,0.106531,0.000915,0.08249,0.000703,0.057662,0.001076,0.04238,0.001,0.034417,0.00122,0.030021,0.000576,0.025159,0.000813,0.019678,0.000813,0.013638,0.000915,0.011283,0.000576,0.010496,0,0.009479,0.000407,0.007116,0.000576,0.005328,0.000576
120,0.5,240.71,0.54,121,65,0.141237,0.001086,0.128626,0.001414,0.10798,0.001224,0.083687,0.000914,0.058748,0.000819,0.043671,0.001155,0.035663,0.001,0.03137,0.000819,0.026206,0.000819,0.020086,0.000819,0.013862,0.000707,0.011198,0.000578,0.010603,0.000405,0.009664,0.000914,0.007319,0.000405,0.005207,0.000405
122,0.51,240.84,0.53,124,66,0.14287,0.001291,0.130688,0.001474,0.11085,0.001639,0.087349,0.001474,0.061939,0.00116,0.04578,0.001081,0.036215,0.00116,0.031113,0.00116,0.026692,0.001081,0.021094,0.00082,0.014955,0.001003,0.010909,0.000576,0.00988,0.00082,0.009557,0.00082,0.007831,0.001003,0.005799,0.000706
124,0.52,241.16,0.53,126,66,0.142054,0.001682,0.130964,0.001413,0.111465,0.00091,0.088393,0.001292,0.063631,0.001465,0.047088,0.001994,0.036432,0.001864,0.030389,0.001413,0.025933,0.001353,0.020115,0.000997,0.014159,0.000997,0.010361,0.00091,0.009633,0.000408,0.009329,0.000572,0.007309,0.000408,0.005887,0.000408
126,0.52,240.97,0.53,125,66,0.141237,0.002155,0.129824,0.002578,0.110273,0.002155,0.086403,0.00244,0.061722,0.00244,0.04568,0.002155,0.035878,0.002233,0.030577,0.002371,0.026016,0.001905,0.019948,0.001629,0.013844,0.001465,0.010207,0.001,0.009664,0.001,0.009241,0.001,0.007638,0.001155,0.005715,0.001224
128,0.52,241.21,0.53,124,66,0.142054,0.001682,0.130253,0.001353,0.110199,0.001223,0.085853,0.00091,0.060891,0.001006,0.045545,0.001153,0.036979,0.001292,0.032314,0.00091,0.027121,0.000815,0.021364,0.000408,0.014904,0.001006,0.011939,0.000815,0.01102,0.000711,0.009823,0.000581,0.008003,0.000408,0.005298,0
