time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
111,0.41,237.87,0.92,105,97,0.206549,0,0.0767,0.000403,0.0221,0.000706,0.004059,0,0.007955,0.000403,0.001588,0.000403,0.003681,0.00058,0.002042,0.000403,0.00295,0.00058,0.002168,0,0.002118,0,0.003089,0.000403,0.000403,0.00058,0.000996,0.00058,0.003895,0,0.003139,0.00058
113,0.44,238.12,0.92,104,96,0.203284,0.000571,0.07504,0.000707,0.021663,0.000409,0.004144,0.000571,0.007593,0,0.001414,0.000819,0.003102,0,0.001414,0.000571,0.002581,0.000571,0.001911,0.000819,0.001414,0.000409,0.003313,0.000571,0.001687,0.000409,0.001005,0.000409,0.003561,0.000409,0.003127,0.000571
115,0.44,238.02,0.92,102,94,0.204916,0.000813,0.075605,0.000413,0.021787,0,0.00399,0.0007,0.007842,0.000413,0.001676,0.000575,0.003502,0.000413,0.001726,0.000413,0.002639,0,0.001626,0.000575,0.001576,0.000413,0.003264,0.000575,0.001351,0.0007,0.001576,0.000413,0.003977,0.000575,0.003339,0.000575
117,0.44,238.02,0.92,101,93,0.200018,0.001416,0.073615,0.000708,0.020986,0.000708,0.004297,0,0.006678,0.000708,0.001148,0.001001,0.00343,0.000403,0.003076,0.000403,0.001526,0.000403,0.001294,0.000708,0.001819,0.000818,0.003821,0.000403,0.002234,0.000708,0.001782,0,0.002637,0.000708,0.002796,0.000403
119,0.44,237.77,0.92,96,89,0.182874,0.001083,0.06591,0.000815,0.01758,0.00058,0.003259,0.000915,0.007088,0.00058,0.001473,0.000413,0.004454,0.000413,0.005235,0.000413,0.002199,0.00058,0.001295,0.00058,0.002824,0,0.001585,0,0.00173,0,0.002824,0,0.00163,0.000413,0.001953,0.000413
121,0.39,238,0.93,92,85,0.182057,0.001222,0.065293,0.000711,0.017123,0.001,0.003034,0,0.006934,0.000411,0.001689,0.000711,0.004267,0.000578,0.005,0.000822,0.002911,0.000411,0.001733,0,0.003211,0.000411,0.001222,0.000578,0.001733,0.000411,0.003089,0.000411,0.001578,0,0.001778,0.000411
123,0.39,238,0.93,91,85,0.186956,0.001232,0.068408,0.000913,0.019467,0.000913,0.004462,0.000582,0.005797,0.000411,0.002202,0,0.004553,0.000707,0.004701,0.000411,0.002202,0,0.001289,0,0.002282,0,0.00259,0.000411,0.002237,0,0.003241,0.000582,0.002122,0.000411,0.001472,0.000582
125,0.39,238.3,0.92,92,85,0.185323,0.001414,0.066996,0.001414,0.018607,0.001086,0.003789,0.000577,0.006199,0.000713,0.001832,0.000713,0.004728,0,0.00509,0,0.002579,0.000577,0.001629,0.000713,0.002975,0.000814,0.001731,0.000577,0.001866,0.000577,0.003031,0.000577,0.001629,0.000407,0.001912,0.000577
127,0.39,238.45,0.92,92,85,0.185323,0.000713,0.067234,0.000407,0.018584,0.000407,0.003473,0.000713,0.007262,0.000577,0.001222,0.000577,0.003982,0.000577,0.0044,0.000407,0.001731,0,0.000577,0.000713,0.002579,0.000407,0.002455,0.000407,0.002307,0.000407,0.003088,0,0.001584,0.000577,0.002421,0
129,0.4,237.86,0.93,92,85,0.186139,0.00142,0.06628,0.001227,0.017825,0.000909,0.003136,0.001,0.006726,0.000818,0.002079,0.000704,0.004681,0.000409,0.00509,0.000579,0.002556,0.000409,0.001738,0,0.00309,0,0.002,0.000409,0.002,0.000579,0.002522,0.000409,0.00192,0,0.002,0.000409
131,0.39,237.94,0.92,94,87,0.189405,0.001468,0.067825,0.000809,0.018959,0.001353,0.003214,0.000809,0.007491,0.000578,0.00163,0.001075,0.003734,0.000705,0.003884,0.000705,0.002116,0.000405,0.000913,0.000578,0.002081,0.000405,0.002509,0,0.001468,0.000578,0.002116,0,0.002335,0.000405,0.002231,0.000578
133,0.4,238.2,0.92,93,86,0.18369,0.000404,0.066002,0,0.018421,0.000572,0.003846,0.000404,0.005987,0,0.002231,0,0.004597,0.000572,0.004855,0.000818,0.002478,0.000818,0.001413,0.000404,0.002881,0,0.001771,0.000404,0.001872,0.000404,0.002993,0,0.001727,0.000404,0.001771,0
135,0.39,238.24,0.92,91,84,0.180424,0.000705,0.064543,0.000573,0.01741,0.000705,0.003017,0.000705,0.007367,0,0.001288,0.000407,0.004097,0,0.004427,0,0.002158,0,0.001465,0.000705,0.003183,0,0.001575,0,0.00152,0.000407,0.00294,0.000407,0.001773,0,0.002081,0.000573
137,0.4,238.16,0.92,91,84,0.182874,0.000703,0.064738,0.000815,0.017602,0.000413,0.002924,0.000915,0.007657,0,0.00173,0.000413,0.004174,0.000703,0.004576,0,0.002199,0.00058,0.001228,0.000413,0.003215,0.00058,0.001641,0.000413,0.00192,0,0.002768,0.000413,0.001529,0.000413,0.001964,0.000413
138,0.39,238.01,0.93,92,85,0.182057,0.000822,0.065038,0.000711,0.017235,0,0.002645,0.000711,0.007112,0,0.001356,0.000822,0.004245,0.000411,0.005311,0,0.002522,0,0.001411,0.000411,0.003589,0.000711,0.001289,0,0.001689,0,0.003,0.000411,0.001356,0,0.001878,0.000411
140,0.39,238.08,0.93,91,84,0.180424,0.000815,0.064532,0.000573,0.017399,0,0.002676,0.000573,0.007896,0.000407,0.001476,0.000407,0.004064,0,0.004757,0,0.002235,0.000573,0.000815,0.000407,0.002577,0.000573,0.001586,0.000705,0.001685,0.000705,0.002742,0,0.00141,0,0.00163,0.000705
142,0.39,238.15,0.92,91,84,0.177975,0.000912,0.063123,0.001227,0.016316,0.000706,0.002042,0.000413,0.007484,0.000413,0.001412,0.000413,0.004052,0.000413,0.004714,0.000413,0.002792,0.000413,0.001466,0.000413,0.003454,0.000576,0.000999,0.000413,0.001151,0,0.002335,0.000576,0.001466,0.000413,0.001727,0.000706
144,0.38,238.37,0.92,91,84,0.18369,0.000818,0.066742,0.000706,0.018398,0.000404,0.004025,0,0.006267,0,0.001917,0,0.004496,0.000404,0.005191,0.000706,0.002859,0,0.00148,0.000404,0.003083,0.000706,0.001682,0.000404,0.002007,0.000404,0.003173,0.000818,0.001738,0,0.001637,0.000583
146,0.39,238.25,0.92,91,84,0.180424,0.001079,0.065104,0.000407,0.017829,0.000573,0.003172,0.000815,0.007103,0.000705,0.001531,0.000573,0.0049,0.000573,0.005572,0.000573,0.002863,0,0.001355,0.000407,0.00337,0.000573,0.001156,0.000573,0.001531,0.000705,0.002775,0.000705,0.001685,0,0.001288,0
148,0.39,238.27,0.92,91,84,0.178792,0.000404,0.064068,0.000709,0.017547,0.000578,0.002914,0.000404,0.007552,0.000404,0.00108,0.000709,0.004038,0.000709,0.004605,0.000578,0.002881,0.000578,0.001157,0.000578,0.003132,0.000578,0.001528,0.000404,0.001681,0.000404,0.002914,0,0.001822,0.000578,0.001779,0
150,0.38,238.12,0.93,90,84,0.177159,0.000703,0.06291,0.000908,0.016814,0.000411,0.002411,0.000573,0.008402,0.000411,0.001633,0.000573,0.003363,0.000573,0.003947,0,0.001817,0.000573,0.001222,0.000573,0.002941,0.000573,0.001287,0.000811,0.001287,0.000411,0.002855,0.000703,0.001406,0.000411,0.00173,0.000411
152,0.39,237.95,0.93,89,83,0.177159,0.001157,0.062953,0.000573,0.017106,0.000908,0.003157,0.000811,0.008066,0.000573,0.002303,0.000573,0.004185,0.000411,0.004185,0.000411,0.002119,0,0.001157,0.000411,0.002941,0,0.001471,0.000411,0.001416,0,0.002887,0,0.001827,0.000411,0.001827,0.000411
154,0.38,238.24,0.93,90,83,0.173077,0.000581,0.060361,0.000708,0.015624,0.000581,0.001828,0.000581,0.009032,0.000581,0.002514,0.000581,0.003824,0.000581,0.003718,0.000412,0.001225,0,0.001352,0.000581,0.003085,0.000581,0.001004,0,0.001078,0,0.002768,0.000412,0.001289,0.000581,0.001637,0.000412
156,0.38,237.93,0.93,90,84,0.168995,0.000578,0.058082,0,0.014956,0.000578,0.00196,0.000712,0.010418,0.000712,0.002806,0.000413,0.003682,0.000578,0.003187,0.000413,0.001413,0.000578,0.000815,0.000413,0.00329,0,0.000918,0,0.000712,0,0.002888,0.000413,0.001784,0.000413,0.001527,0.000413
158,0.38,237.95,0.93,91,84,0.181241,0.000819,0.06333,0.000708,0.016106,0.000708,0.001527,0.000575,0.008186,0.000708,0.001527,0.000708,0.004126,0.000409,0.004613,0,0.002312,0.000409,0.001781,0,0.003142,0.000708,0.001084,0.000409,0.001294,0.000708,0.002555,0.000575,0.001527,0,0.002489,0
160,0.38,237.73,0.93,89,82,0.173077,0.000412,0.059823,0,0.015043,0,0.001912,0.000412,0.009497,0.000708,0.002821,0,0.003602,0,0.003486,0.000813,0.001732,0,0.001151,0,0.003074,0.000708,0.000581,0.000581,0.001004,0.000412,0.002768,0.000581,0.001151,0,0.001574,0.000412
162,0.38,237.86,0.93,91,84,0.177159,0.000995,0.061179,0.001222,0.015365,0.000995,0.001676,0.000703,0.008434,0.000573,0.001871,0.000411,0.003547,0.000411,0.004098,0.000573,0.002336,0.000411,0.001773,0.000573,0.002995,0.000411,0.000573,0,0.001287,0.000573,0.002606,0,0.001287,0,0.001914,0
164,0.37,238.05,0.93,88,81,0.171444,0.00091,0.058955,0.000712,0.014838,0.000816,0.001685,0.000576,0.009836,0.000576,0.002804,0.000408,0.003558,0,0.003443,0,0.00135,0.000408,0.000816,0.000408,0.00339,0.000408,0.000576,0,0.00091,0,0.002616,0,0.00158,0,0.001685,0
166,0.38,237.75,0.93,89,83,0.177159,0.000411,0.061244,0.000573,0.015149,0,0.001416,0,0.009029,0.000411,0.00173,0,0.003958,0.000573,0.004098,0,0.002044,0.000411,0.001827,0,0.003395,0.000573,0.000822,0.000411,0.001157,0,0.002649,0.000411,0.001157,0,0.002411,0.000411
167,0.38,237.81,0.93,87,80,0.168178,0.000821,0.058817,0.000575,0.014956,0.000708,0.001355,0,0.009228,0,0.002679,0.000708,0.003582,0,0.003716,0.000411,0.001355,0,0.000996,0.000575,0.002884,0.000575,0.000821,0.000411,0.000914,0,0.002484,0.000411,0.001735,0,0.001632,0.000575
169,0.37,237.54,0.93,88,82,0.171444,0.001287,0.059122,0.000576,0.014723,0.000576,0.001821,0,0.009753,0.000408,0.002742,0.000712,0.003369,0,0.003631,0.000408,0.001005,0.000408,0.001005,0.000576,0.003024,0,0.000576,0.000408,0.001005,0,0.002449,0.000408,0.00135,0.000408,0.002041,0.000408
171,0.37,237.85,0.93,87,80,0.17226,0.001083,0.06014,0.000915,0.01513,0.000915,0.00122,0.00082,0.009179,0.00041,0.002303,0.00041,0.003596,0.00082,0.003438,0.00041,0.001472,0,0.001157,0.00041,0.002996,0,0.000704,0,0.001083,0.00041,0.002765,0.00041,0.001409,0.000578,0.001777,0.000578
173,0.36,238,0.93,87,81,0.173893,0.000913,0.060137,0.000817,0.015326,0.000817,0.001157,0.000817,0.00882,0.000711,0.002388,0.000573,0.003662,0,0.003906,0.000414,0.00173,0,0.001528,0.000414,0.003322,0.000573,0.000998,0,0.000913,0.000573,0.002484,0.000711,0.001581,0.000414,0.001783,0.000573
175,0.37,237.99,0.93,87,81,0.173077,0.000813,0.059728,0.000813,0.015064,0.000708,0.00168,0.000581,0.00919,0.000581,0.002482,0.000412,0.003909,0.000581,0.004088,0.000412,0.001627,0.000412,0.001225,0.000412,0.00299,0,0.001151,0.000412,0.001151,0.000412,0.002884,0.000412,0.001225,0.000412,0.00168,0.000412
177,0.37,237.82,0.93,88,81,0.168995,0.000578,0.058701,0.000413,0.014698,0.000413,0.001681,0,0.009954,0.000413,0.003146,0,0.004043,0,0.003445,0.000578,0.001527,0.000578,0.001001,0.000413,0.003394,0,0.000815,0.000815,0.001155,0.000413,0.002558,0.000413,0.00164,0.000413,0.001919,0.000413
179,0.38,237.85,0.93,87,81,0.168178,0.000708,0.058027,0.000411,0.014833,0.000708,0.00192,0.000575,0.010121,0.000411,0.003295,0.000411,0.003541,0.000411,0.003162,0,0.001078,0.000411,0.00116,0,0.00311,0.000411,0.001006,0,0.00116,0,0.002771,0.000575,0.001786,0,0.001735,0.000411
181,0.37,238.09,0.93,88,81,0.173893,0.000817,0.059606,0.000414,0.014838,0.000711,0.001879,0.000573,0.009351,0.000414,0.002717,0.000573,0.003948,0.000414,0.003704,0.000711,0.001783,0.000573,0.001412,0,0.003418,0.000414,0.000817,0,0.000998,0,0.002346,0,0.001475,0,0.002048,0.000711
183,0.37,237.96,0.93,86,80,0.17226,0.00041,0.059814,0.00081,0.014888,0,0.001472,0.000578,0.009284,0,0.002229,0.000578,0.003428,0.000578,0.004174,0,0.001525,0.000578,0.001157,0.00041,0.003501,0.00041,0.000999,0,0.001157,0.00041,0.002513,0.000578,0.001157,0.00041,0.002197,0.00041
185,0.37,238.19,0.93,87,80,0.167362,0.000705,0.058317,0.000817,0.014944,0.000817,0.001348,0.000572,0.009622,0.000817,0.003054,0.000705,0.003933,0,0.002942,0,0.001348,0.000409,0.000817,0,0.00334,0.000409,0.000817,0,0.000909,0,0.002819,0.000409,0.00141,0.000409,0.001634,0.000705
187,0.39,237.91,0.93,88,82,0.173077,0.000813,0.059316,0.000412,0.014493,0.000708,0.001532,0.000813,0.009909,0.000581,0.002556,0.000412,0.003539,0.000412,0.003792,0.000581,0.001468,0.000581,0.001289,0.000412,0.003137,0.000581,0.000813,0.000581,0.000908,0.000412,0.00262,0.000581,0.001225,0.000412,0.002451,0.000581
