time,irms,vrms,power_factor,p_apparente,p_active,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,240.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,240.11,0,1,0,0.013062,0.017653,0.011799,0.003922,0.007759,0.011047,0.010823,0.009134,0.007403,0.006731,0.00826,0.009749,0.008917,0.007269,0.006707,0.007303,0.008018,0.007915,0.00719,0.006382,0.006227,0.006671,0.006947,0.006484,0.005692,0.005258,0.005677,0.005986,0.005619,0.004987,0.004647,0.004904
145,0.06,222.49,0.15,36,5,0.137972,0.000581,0.051773,0,0.014973,0,0.002307,0,0.00651,0.000404,0.000909,0.000581,0.003604,0.000581,0.002274,0.000404,0.004059,0.000404,0.002122,0,0.002307,0.000404,0.001634,0.000581,0.001583,0,0.002198,0,0.001962,0.000581,0.001154,0.000404
146,0.3,223.29,0.91,59,54,0.126542,0.000703,0.0457,0.000409,0.013601,0.000911,0.002379,0.000409,0.006928,0.000703,0.001081,0.000579,0.002997,0.000579,0.002827,0.000409,0.00285,0.000579,0.00234,0,0.002078,0.000409,0.001413,0.000409,0.001954,0.000409,0.00129,0,0.00163,0.000579,0.00122,0.000409
148,0.28,223.88,0.91,63,57,0.127358,0.000917,0.046166,0.000816,0.012888,0.000816,0.002519,0.000575,0.007276,0.000412,0.001415,0,0.002651,0.000575,0.002837,0.000412,0.002348,0.000917,0.002006,0.000412,0.002083,0.000575,0.001415,0.000412,0.001228,0.000412,0.001228,0.000412,0.00178,0,0.001003,0.000575
150,0.37,224.01,0.93,90,84,0.191854,0.00041,0.065001,0,0.012319,0,0.007143,0,0.009766,0.000574,0.004274,0,0.002342,0.00041,0.004298,0.00041,0.001288,0.000703,0.00274,0.000574,0.001417,0,0.003314,0,0.001358,0.000574,0.00041,0.000703,0.002447,0.00041,0.000574,0
152,0.4,223.74,0.93,90,83,0.191854,0,0.065189,0.000574,0.012225,0,0.006698,0.00082,0.009907,0,0.00397,0,0.00219,0,0.00418,0,0.001464,0,0.002857,0,0.001218,0,0.003642,0,0.000995,0.00041,0,0.00041,0.002764,0.00041,0.001148,0.00041
154,0.41,223.97,0.93,92,86,0.193487,0.000815,0.065366,0,0.012624,0.000579,0.006885,0.000413,0.010074,0.000413,0.004039,0.000413,0.002267,0.000413,0.004523,0.000413,0.001523,0.000709,0.002858,0.000413,0.001417,0.000413,0.00346,0.000579,0.001228,0.000413,0.000579,0,0.002515,0.000579,0.000709,0.000579
